Time,Open,High,Low,Close,Volume
2018-01-01,0.00055804,0.00058800,0.00055324,0.00057119,2632230.00000000
2018-01-02,0.00057191,0.00064890,0.00052500,0.00056800,5180770.00000000
2018-01-03,0.00056802,0.00063000,0.00053459,0.00062521,4626955.00000000
2018-01-04,0.00062521,0.00071000,0.00061301,0.00062699,7463902.00000000
2018-01-05,0.00062700,0.00067000,0.00051116,0.00054874,5665945.00000000
2018-01-06,0.00054582,0.00061890,0.00052000,0.00057101,4814866.00000000
2018-01-07,0.00057447,0.00065500,0.00056670,0.00062696,4638534.00000000
2018-01-08,0.00062934,0.00067934,0.00059299,0.00064853,4833782.00000000
2018-01-09,0.00064647,0.00066800,0.00061051,0.00064202,3697242.00000000
2018-01-10,0.00064202,0.00085000,0.00062514,0.00075795,8254158.00000000
2018-01-11,0.00075793,0.00089990,0.00070100,0.00084839,7107175.00000000
2018-01-12,0.00084627,0.00111000,0.00081057,0.00099685,11033874.00000000
2018-01-13,0.00099305,0.00133330,0.00095600,0.00113101,17555963.00000000
2018-01-14,0.00112751,0.00113135,0.00097000,0.00097891,4760758.00000000
2018-01-15,0.00097891,0.00107100,0.00092466,0.00094653,3946281.00000000
2018-01-16,0.00094653,0.00098900,0.00083336,0.00090000,6370977.00000000
2018-01-17,0.00090000,0.00092815,0.00081648,0.00092270,6543226.00000000
2018-01-18,0.00092197,0.00096878,0.00090000,0.00092475,4652879.00000000
2018-01-19,0.00092535,0.00099180,0.00090387,0.00096800,3702381.00000000
2018-01-20,0.00096800,0.00123650,0.00096774,0.00123000,10631950.00000000
2018-01-21,0.00123000,0.00123284,0.00107500,0.00116909,6953412.00000000
2018-01-22,0.00116700,0.00130000,0.00115600,0.00124910,7195121.00000000
2018-01-23,0.00124531,0.00126969,0.00115000,0.00119649,4843417.00000000
2018-01-24,0.00119649,0.00123906,0.00116500,0.00122626,3254266.00000000
2018-01-25,0.00122626,0.00130399,0.00120550,0.00127750,3808539.00000000
2018-01-26,0.00127720,0.00130100,0.00123900,0.00128877,2910128.00000000
2018-01-27,0.00128877,0.00129692,0.00124500,0.00125349,1923157.00000000
2018-01-28,0.00125349,0.00125998,0.00118451,0.00123987,1990026.00000000
2018-01-29,0.00124233,0.00124361,0.00118990,0.00120402,1998438.00000000
2018-01-30,0.00120402,0.00120746,0.00110000,0.00111305,2838082.00000000
2018-01-31,0.00111308,0.00118726,0.00106136,0.00116900,2219949.00000000
2018-02-01,0.00116896,0.00118300,0.00108355,0.00109772,2946167.00000000
2018-02-02,0.00109678,0.00122692,0.00102514,0.00114588,4630798.00000000
2018-02-03,0.00114584,0.00122000,0.00111702,0.00114846,2160058.00000000
2018-02-04,0.00114608,0.00116707,0.00106401,0.00108665,2304528.00000000
2018-02-05,0.00108501,0.00111347,0.00101100,0.00101944,3464923.00000000
2018-02-06,0.00101870,0.00109761,0.00095757,0.00107494,3978009.00000000
2018-02-07,0.00107693,0.00108996,0.00098998,0.00101163,2220570.00000000
2018-02-08,0.00101163,0.00102800,0.00100373,0.00102600,26821.00000000
2018-02-09,0.00102409,0.00111000,0.00101665,0.00109741,1556457.00000000
2018-02-10,0.00109742,0.00110000,0.00102102,0.00104055,1671492.00000000
2018-02-11,0.00104055,0.00104900,0.00102007,0.00102973,1279354.00000000
2018-02-12,0.00102973,0.00104700,0.00099001,0.00102658,1727923.00000000
2018-02-13,0.00102629,0.00104890,0.00101600,0.00104461,1372461.00000000
2018-02-14,0.00104461,0.00105470,0.00100400,0.00104118,2037761.00000000
2018-02-15,0.00104018,0.00104268,0.00097100,0.00098086,1561406.00000000
2018-02-16,0.00098034,0.00098099,0.00095840,0.00096618,1145979.00000000
2018-02-17,0.00096576,0.00096998,0.00090000,0.00090365,1703195.00000000
2018-02-18,0.00090365,0.00090625,0.00086401,0.00087228,1412590.00000000
2018-02-19,0.00087228,0.00088223,0.00084738,0.00084921,1419733.00000000
2018-02-20,0.00084922,0.00085710,0.00077887,0.00079000,1751393.00000000
2018-02-21,0.00079038,0.00080500,0.00077156,0.00079015,1735627.00000000
2018-02-22,0.00079015,0.00079500,0.00077000,0.00079099,1542465.00000000
2018-02-23,0.00078975,0.00083489,0.00078955,0.00081124,1838667.00000000
2018-02-24,0.00081232,0.00082636,0.00078000,0.00081395,1581278.00000000
2018-02-25,0.00081338,0.00082200,0.00080000,0.00080063,1095175.00000000
2018-02-26,0.00080063,0.00080362,0.00077077,0.00077340,1323827.00000000
2018-02-27,0.00077436,0.00081970,0.00077000,0.00079006,1629536.00000000
2018-02-28,0.00079109,0.00083252,0.00078778,0.00079000,1737492.00000000
2018-03-01,0.00079000,0.00083450,0.00075326,0.00078124,1619821.00000000
2018-03-02,0.00078123,0.00079174,0.00071494,0.00072635,1551974.00000000
2018-03-03,0.00072635,0.00073528,0.00068900,0.00068993,1077279.00000000
2018-03-04,0.00069116,0.00071260,0.00068215,0.00070779,1444039.00000000
2018-03-05,0.00070655,0.00071706,0.00068554,0.00069073,1308188.00000000
2018-03-06,0.00069144,0.00069900,0.00066003,0.00066690,1522649.00000000
2018-03-07,0.00066690,0.00067133,0.00061234,0.00064647,2945278.00000000
2018-03-08,0.00064648,0.00067193,0.00062556,0.00065362,2136740.00000000
2018-03-09,0.00065302,0.00066790,0.00061625,0.00065099,2481574.00000000
2018-03-10,0.00065099,0.00068496,0.00064154,0.00064474,1692029.00000000
2018-03-11,0.00064473,0.00065898,0.00063230,0.00063473,1417057.00000000
2018-03-12,0.00063432,0.00063800,0.00061300,0.00062782,1625936.00000000
2018-03-13,0.00062700,0.00065100,0.00061490,0.00063125,2699679.00000000
2018-03-14,0.00063125,0.00066000,0.00062786,0.00064145,3075548.00000000
2018-03-15,0.00064102,0.00064843,0.00061560,0.00061971,3402163.00000000
2018-03-16,0.00061971,0.00062514,0.00060280,0.00060801,2885495.00000000
2018-03-17,0.00060844,0.00061679,0.00058412,0.00058661,2731920.00000000
2018-03-18,0.00058558,0.00058741,0.00050000,0.00056181,4430245.00000000
2018-03-19,0.00056295,0.00072689,0.00055446,0.00071667,5739501.00000000
2018-03-20,0.00071787,0.00072971,0.00063740,0.00066760,6116490.00000000
2018-03-21,0.00066759,0.00080908,0.00066199,0.00077491,7786694.00000000
2018-03-22,0.00077598,0.00081473,0.00072330,0.00079100,9401308.00000000
2018-03-23,0.00079107,0.00081409,0.00074600,0.00077892,7183304.00000000
2018-03-24,0.00077718,0.00079148,0.00075901,0.00075964,5408167.00000000
2018-03-26,0.00076055,0.00077900,0.00075266,0.00076138,4212702.00000000
2018-03-27,0.00076138,0.00076745,0.00067320,0.00071199,5717084.00000000
2018-03-28,0.00071197,0.00080200,0.00067101,0.00074339,7982353.00000000
2018-03-29,0.00074339,0.00081000,0.00072802,0.00078116,6244817.00000000
2018-03-30,0.00078012,0.00083650,0.00076675,0.00082812,7200745.00000000
2018-03-31,0.00082813,0.00088000,0.00082768,0.00087629,6981347.00000000
2018-04-01,0.00087633,0.00087990,0.00083671,0.00085501,4412257.00000000
2018-04-02,0.00085502,0.00085735,0.00079344,0.00082210,4790580.00000000
2018-04-03,0.00082210,0.00083100,0.00079944,0.00082251,4908330.00000000
2018-04-04,0.00082250,0.00082720,0.00079555,0.00081449,4944320.00000000
2018-04-05,0.00081501,0.00084500,0.00079601,0.00083224,4523436.00000000
2018-04-06,0.00083137,0.00094000,0.00081260,0.00093397,7707892.00000000
2018-04-07,0.00093159,0.00093396,0.00086003,0.00088000,6456999.00000000
2018-04-08,0.00087929,0.00088000,0.00084400,0.00085201,4298841.00000000
2018-04-09,0.00085280,0.00085683,0.00083871,0.00084862,3831234.00000000
2018-04-10,0.00084862,0.00087231,0.00083147,0.00086376,4272679.00000000
2018-04-11,0.00086261,0.00089142,0.00085400,0.00087548,4588784.00000000
2018-04-12,0.00087562,0.00127500,0.00087196,0.00122870,18399337.87000000
2018-04-13,0.00122780,0.00129940,0.00110200,0.00111620,16113683.98000000
2018-04-14,0.00111620,0.00122000,0.00109560,0.00111830,6843363.20000000
2018-04-15,0.00111680,0.00114240,0.00102290,0.00109080,5326963.25000000
2018-04-16,0.00109100,0.00109210,0.00097380,0.00101840,5879273.23000000
2018-04-17,0.00101840,0.00103280,0.00099000,0.00100490,3468352.29000000
2018-04-18,0.00100490,0.00112000,0.00100480,0.00107430,6570626.44000000
2018-04-19,0.00107420,0.00113020,0.00106900,0.00110840,3852097.65000000
2018-04-20,0.00110630,0.00114290,0.00108900,0.00114250,4927568.82000000
2018-04-21,0.00114250,0.00135000,0.00114130,0.00129350,10441767.33000000
2018-04-22,0.00129550,0.00132010,0.00118400,0.00124390,5289947.52000000
2018-04-23,0.00124390,0.00132490,0.00121750,0.00128360,4422468.75000000
2018-04-24,0.00128250,0.00132310,0.00127700,0.00129770,3563781.29000000
2018-04-25,0.00129680,0.00169950,0.00129620,0.00155780,14663288.79000000
2018-04-26,0.00155980,0.00168630,0.00146140,0.00162590,11808152.90000000
2018-04-27,0.00162600,0.00169210,0.00159600,0.00166600,5421386.70000000
2018-04-28,0.00166590,0.00193940,0.00161520,0.00185940,8521503.12000000
2018-04-29,0.00185830,0.00208170,0.00184960,0.00200890,9402945.34000000
2018-04-30,0.00200890,0.00244000,0.00199000,0.00227500,14618056.30000000
2018-05-01,0.00227330,0.00229000,0.00180150,0.00189380,15760415.24000000
2018-05-02,0.00189380,0.00209620,0.00178450,0.00207000,10567763.59000000
2018-05-03,0.00207000,0.00214230,0.00200650,0.00207450,6302808.30000000
2018-05-04,0.00207550,0.00208910,0.00175000,0.00181320,9036764.15000000
2018-05-05,0.00181300,0.00187400,0.00170010,0.00174860,6149362.38000000
2018-05-06,0.00175220,0.00192490,0.00174880,0.00179560,5840564.05000000
2018-05-07,0.00179800,0.00186680,0.00172110,0.00179810,4649795.49000000
2018-05-08,0.00179670,0.00199080,0.00176630,0.00189780,8254402.85000000
2018-05-09,0.00189620,0.00200830,0.00187710,0.00195320,4749569.25000000
2018-05-10,0.00195080,0.00196230,0.00188880,0.00190430,3037672.08000000
2018-05-11,0.00190430,0.00199970,0.00188000,0.00192030,4014689.44000000
2018-05-12,0.00192070,0.00196770,0.00167000,0.00176000,9144495.87000000
2018-05-13,0.00175960,0.00178560,0.00151960,0.00164830,9728796.66000000
2018-05-14,0.00164830,0.00173280,0.00160590,0.00168210,4548022.54000000
2018-05-15,0.00168190,0.00169810,0.00155930,0.00159080,4984147.44000000
2018-05-16,0.00158960,0.00163090,0.00147380,0.00151240,6576385.03000000
2018-05-17,0.00151240,0.00154320,0.00145320,0.00151740,7262156.63000000
2018-05-18,0.00151810,0.00166850,0.00149710,0.00152120,9458373.82000000
2018-05-19,0.00152040,0.00159450,0.00149600,0.00156900,6693102.04000000
2018-05-20,0.00156660,0.00161000,0.00152910,0.00159420,5753889.17000000
2018-05-21,0.00159420,0.00167500,0.00158060,0.00163280,8166783.02000000
2018-05-22,0.00163080,0.00165860,0.00155950,0.00159890,5795145.03000000
2018-05-23,0.00159900,0.00160250,0.00150660,0.00151640,5736029.44000000
2018-05-24,0.00151690,0.00154000,0.00138550,0.00142270,8949930.41000000
2018-05-25,0.00142270,0.00169900,0.00140710,0.00168070,7816610.46000000
2018-05-26,0.00168150,0.00169000,0.00157640,0.00163010,7924785.33000000
2018-05-27,0.00162910,0.00169870,0.00160000,0.00166670,5293822.38000000
2018-05-28,0.00166630,0.00170900,0.00164400,0.00168960,9701608.03000000
2018-05-29,0.00169000,0.00175000,0.00160000,0.00161740,12203630.13000000
2018-05-30,0.00161730,0.00165990,0.00150590,0.00162600,11886498.90000000
2018-05-31,0.00162580,0.00166190,0.00158840,0.00161090,9633376.28000000
2018-06-01,0.00161090,0.00167720,0.00160300,0.00163410,9649738.03000000
2018-06-02,0.00163390,0.00166800,0.00159550,0.00162390,8936181.06000000
2018-06-03,0.00162350,0.00204460,0.00162000,0.00191940,14705623.09000000
2018-06-04,0.00192220,0.00199530,0.00185800,0.00188300,5304843.35000000
2018-06-05,0.00188300,0.00192000,0.00177590,0.00179830,10536244.06000000
2018-06-06,0.00179810,0.00188880,0.00173270,0.00186160,10034510.87000000
2018-06-07,0.00186100,0.00187320,0.00178520,0.00181640,9122005.86000000
2018-06-08,0.00181640,0.00191450,0.00177420,0.00190790,8280792.08000000
2018-06-09,0.00190950,0.00193670,0.00177890,0.00183710,8819353.27000000
2018-06-10,0.00183860,0.00195920,0.00183500,0.00188820,8441884.55000000
2018-06-11,0.00188910,0.00189330,0.00165150,0.00173340,10357357.57000000
2018-06-12,0.00173340,0.00173730,0.00160420,0.00171160,7863889.72000000
2018-06-13,0.00171310,0.00172000,0.00150000,0.00154530,6114819.84000000
2018-06-14,0.00154520,0.00162120,0.00148000,0.00159490,8107594.63000000
2018-06-15,0.00159510,0.00176390,0.00151000,0.00169490,7298887.80000000
2018-06-16,0.00169490,0.00172130,0.00165000,0.00166820,4735552.40000000
2018-06-17,0.00166820,0.00167740,0.00160010,0.00162390,4108595.39000000
2018-06-18,0.00162560,0.00164290,0.00159080,0.00160100,1616102.30000000
2018-06-19,0.00160110,0.00161560,0.00157500,0.00159150,6998159.17000000
2018-06-20,0.00159060,0.00160610,0.00155000,0.00158140,6018478.84000000
2018-06-21,0.00158190,0.00160220,0.00153380,0.00153890,6551415.05000000
2018-06-22,0.00153890,0.00159650,0.00152570,0.00154750,6344395.41000000
2018-06-23,0.00154800,0.00155060,0.00137190,0.00140990,8310595.20000000
2018-06-24,0.00140900,0.00142320,0.00134100,0.00137370,6300505.29000000
2018-06-25,0.00137350,0.00138050,0.00120530,0.00131160,7068222.31000000
2018-06-26,0.00131160,0.00137490,0.00125890,0.00133360,5792085.28000000
2018-06-27,0.00133350,0.00134420,0.00124410,0.00124550,3442537.37000000
2018-06-28,0.00124440,0.00134470,0.00122970,0.00130400,5147396.68000000
2018-06-29,0.00130400,0.00131290,0.00124000,0.00125760,4599346.21000000
2018-06-30,0.00125760,0.00127500,0.00122120,0.00124950,5581376.71000000
2018-07-01,0.00124950,0.00130480,0.00124400,0.00127100,6063496.73000000
2018-07-02,0.00127100,0.00128780,0.00123400,0.00127600,5401298.54000000
2018-07-03,0.00127600,0.00137410,0.00125250,0.00135450,5912277.48000000
2018-07-04,0.00135480,0.00141530,0.00134380,0.00135720,5102867.44000000
2018-07-05,0.00135610,0.00139280,0.00134370,0.00135160,2753595.66000000
2018-07-06,0.00135160,0.00138100,0.00133260,0.00135310,3410057.00000000
2018-07-07,0.00135310,0.00135730,0.00128770,0.00130690,3464256.09000000
2018-07-08,0.00130670,0.00132100,0.00128000,0.00130750,3488595.56000000
2018-07-09,0.00130750,0.00132510,0.00128490,0.00129350,3217947.47000000
2018-07-10,0.00129430,0.00129680,0.00112940,0.00115790,4316124.29000000
2018-07-11,0.00115660,0.00117710,0.00111310,0.00113140,3871591.14000000
2018-07-12,0.00113140,0.00115780,0.00107010,0.00112240,2764546.92000000
2018-07-13,0.00112370,0.00112380,0.00106100,0.00110750,7031956.68000000
2018-07-14,0.00110750,0.00115490,0.00108220,0.00110900,8797445.15000000
2018-07-15,0.00110940,0.00113000,0.00109440,0.00110650,7423892.00000000
2018-07-16,0.00110650,0.00117950,0.00109830,0.00116440,7438136.37000000
2018-07-17,0.00116480,0.00122000,0.00113890,0.00120340,6934408.55000000
2018-07-18,0.00120460,0.00122260,0.00117390,0.00120020,6870332.57000000
2018-07-19,0.00120060,0.00124240,0.00115650,0.00116520,6289416.05000000
2018-07-20,0.00116560,0.00117380,0.00110800,0.00112550,5946612.03000000
2018-07-21,0.00112560,0.00113680,0.00105990,0.00107110,7360731.04000000
2018-07-22,0.00107110,0.00110770,0.00105230,0.00108030,6768688.12000000
2018-07-23,0.00108030,0.00109650,0.00104800,0.00106080,6743223.53000000
2018-07-24,0.00106180,0.00109640,0.00101140,0.00102560,6474217.15000000
2018-07-25,0.00102660,0.00105260,0.00097140,0.00102160,9025145.18000000
2018-07-26,0.00102160,0.00106970,0.00101910,0.00104340,8088202.41000000
2018-07-27,0.00104340,0.00107120,0.00102150,0.00104680,7397882.31000000
2018-07-28,0.00104680,0.00105000,0.00101730,0.00103010,6712347.35000000
2018-07-29,0.00102960,0.00103110,0.00100300,0.00101600,6808833.18000000
2018-07-30,0.00101580,0.00103000,0.00100020,0.00101260,6335814.84000000
2018-07-31,0.00101290,0.00102110,0.00093470,0.00094680,5808535.71000000
2018-08-01,0.00094640,0.00095080,0.00090410,0.00094930,5156039.65000000
2018-08-02,0.00094730,0.00097190,0.00092300,0.00094920,4263573.79000000
2018-08-03,0.00094970,0.00095570,0.00091590,0.00093130,1807944.65000000
2018-08-04,0.00093120,0.00097230,0.00092700,0.00096750,5326134.79000000
2018-08-05,0.00096790,0.00100750,0.00094890,0.00099530,7033394.62000000
2018-08-06,0.00099530,0.00101260,0.00099360,0.00100100,6334871.71000000
2018-08-07,0.00100070,0.00102390,0.00099410,0.00101700,5705645.96000000
2018-08-08,0.00101770,0.00101810,0.00096000,0.00097730,6183925.89000000
2018-08-09,0.00097740,0.00097940,0.00085250,0.00088730,7460416.56000000
2018-08-10,0.00088880,0.00090900,0.00086190,0.00088260,5834863.65000000
2018-08-11,0.00088180,0.00089570,0.00082930,0.00085270,6208856.14000000
2018-08-12,0.00085290,0.00085440,0.00078700,0.00079730,5908948.85000000
2018-08-13,0.00079690,0.00081480,0.00078200,0.00078670,5358571.61000000
2018-08-14,0.00078750,0.00079940,0.00071820,0.00073320,6045637.00000000
2018-08-15,0.00073310,0.00074090,0.00069140,0.00074010,5727432.31000000
2018-08-16,0.00074010,0.00077230,0.00072020,0.00073610,5582266.50000000
2018-08-17,0.00073790,0.00074660,0.00070750,0.00071570,5631129.92000000
2018-08-18,0.00071510,0.00085080,0.00071210,0.00084880,7247215.64000000
2018-08-19,0.00084870,0.00085500,0.00076500,0.00079450,5495097.16000000
2018-08-20,0.00079470,0.00083650,0.00078060,0.00081600,4230144.38000000
2018-08-21,0.00081630,0.00082150,0.00074750,0.00075270,4555485.88000000
2018-08-22,0.00075270,0.00076440,0.00073030,0.00075720,4077500.76000000
2018-08-23,0.00075790,0.00078760,0.00072000,0.00074180,4817249.32000000
2018-08-24,0.00074120,0.00076510,0.00072930,0.00075050,3992276.72000000
2018-08-25,0.00075140,0.00077000,0.00073800,0.00075440,3840981.61000000
2018-08-26,0.00075440,0.00075610,0.00073600,0.00074700,744836.44000000
2018-08-27,0.00074700,0.00074960,0.00072510,0.00073880,862266.20000000
2018-08-28,0.00073880,0.00078590,0.00073000,0.00078030,5071971.20000000
2018-08-29,0.00078040,0.00084700,0.00076340,0.00083490,5830675.36000000
2018-08-30,0.00083500,0.00091000,0.00082260,0.00087170,7800677.31000000
2018-08-31,0.00087200,0.00088850,0.00083150,0.00087020,5532915.21000000
2018-09-01,0.00086940,0.00092020,0.00085500,0.00091290,5963183.03000000
2018-09-02,0.00091460,0.00095440,0.00091240,0.00092620,5741400.33000000
2018-09-03,0.00092610,0.00092910,0.00087450,0.00090870,5144826.65000000
2018-09-04,0.00090930,0.00091770,0.00088300,0.00089030,4362172.96000000
2018-09-05,0.00089060,0.00089880,0.00087420,0.00088050,4503064.01000000
2018-09-06,0.00088010,0.00089200,0.00076370,0.00076770,6438537.45000000
2018-09-07,0.00076900,0.00080670,0.00076050,0.00080390,5810061.68000000
2018-09-08,0.00080360,0.00081730,0.00077600,0.00079000,4174939.23000000
2018-09-09,0.00078930,0.00079900,0.00075320,0.00076740,4031856.16000000
2018-09-10,0.00076780,0.00080900,0.00075800,0.00079200,4383876.95000000
2018-09-11,0.00079150,0.00080650,0.00078360,0.00079710,3478468.73000000
2018-09-12,0.00079700,0.00080460,0.00076240,0.00079240,3664995.51000000
2018-09-13,0.00079230,0.00079230,0.00076190,0.00078020,3515928.25000000
2018-09-14,0.00078020,0.00085210,0.00077190,0.00082890,4904634.96000000
2018-09-15,0.00082880,0.00084230,0.00079830,0.00080590,3849907.08000000
2018-09-16,0.00080600,0.00084320,0.00080510,0.00081980,3537236.72000000
